,created_at,tweet_content,keyword,user_location,entities
0,2021-05-10 15:20:00,@lekinhobala Vc disse que todos os seus manos estão de nike no pé mas eu não estou então desculpa por quebrar a corrente de mano com nike,['Nike'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'lekinhobala', 'name': 'tegaboy #residentevilvillage', 'id': 1279985811698651136, 'id_str': '1279985811698651136', 'indices': [0, 12]}], 'symbols': []}"
1,2021-05-10 15:20:15,atualizei minha renda na nubank espero ganhar mais limite no meu cartão de crédito 😋,['Nubank'],"São Paulo, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
2,2021-05-10 15:20:24,"@SpfcFrustraca0 @OPedrinkkj Eu trocaria a chuteira, acho Adidas mtooo melhor e a bola, as da Nike são fodas",['Nike'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'SpfcFrustraca0', 'name': 'SPFC DA FRUSTRAÇÃO', 'id': 1196902371600863232, 'id_str': '1196902371600863232', 'indices': [0, 15]}, {'screen_name': 'OPedrinkkj', 'name': 'Pedroˢᵖᶠᶜ🦊🇾🇪🧙\u200d♂️', 'id': 1355986957369827337, 'id_str': '1355986957369827337', 'indices': [16, 27]}], 'symbols': []}"
3,2021-05-10 15:20:29,@RodrigoBuenoTV A Nike SEMPRE teve uma péssima linha criativa no desenho de seus fardamentos. FATO!,['Nike'],"São Paulo, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'RodrigoBuenoTV', 'name': 'Rodrigo Bueno', 'id': 45385616, 'id_str': '45385616', 'indices': [0, 15]}], 'symbols': []}"
4,2021-05-10 15:20:37,"@CEROLZERA Iaê boquinha de Nike, suave meu cria?",['Nike'],Setor Norte,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'CEROLZERA', 'name': 'Cerol', 'id': 1216971385777664005, 'id_str': '1216971385777664005', 'indices': [0, 10]}], 'symbols': []}"
5,2021-05-10 15:20:43,"o melhor da shein não é nem a roupa, é o saquinho que vem a roupa dentro,dá pra você usar pra várias coisas",['SHEIN'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
6,2021-05-10 15:20:49,@Gaabriel_Biiel Se eu for comprar tudo que tá nos meus favoritos na Shein kkkkkkkkkkkk,['SHEIN'],"Batistini, São Bernardo do Cam","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Gaabriel_Biiel', 'name': 'G Barbosa', 'id': 139812182, 'id_str': '139812182', 'indices': [0, 15]}], 'symbols': []}"
7,2021-05-10 15:20:56,A shein deve andar a fazer mais dinheiro que a Nike a brincar,"['Nike', 'SHEIN']","Ilha de França, França","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
8,2021-05-10 15:21:05,@TikTokBrasil cadê meus 10 conto que mandei para o @nubank fazer favor né? 365 dias pra depositar é osso.,['Nubank'],Natal,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'TikTokBrasil', 'name': 'TikTok Brasil', 'id': 897168370742812672, 'id_str': '897168370742812672', 'indices': [0, 13]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [51, 58]}], 'symbols': []}"
9,2021-05-10 15:21:11,Mais um dia normal passando vontade no site da Nike,['Nike'],São Paulo - Z/O,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
10,2021-05-10 15:21:13,vsf o nike court vision é idêntico ao air force 1,['Nike'],͏͏ ͏          ͏͏ ͏,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
11,2021-05-10 15:21:14,"Ressaca: 🤢

Euuu: porra era so uma Coca cola estalando agora.😅",['Coca cola'],03/11/2020💙👣,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
12,2021-05-10 15:21:21,"@eumatheussr Nike pra roupa e tênis, adidas para futebol",['Nike'],"Asuncion, Paraguay","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'eumatheussr', 'name': 'matheus☔ˢᶜᶜᵖ', 'id': 1290707959845212160, 'id_str': '1290707959845212160', 'indices': [0, 12]}], 'symbols': []}"
13,2021-05-10 15:21:24,"Meu Deus do céu @nubank me deixa pagar meus boletos, meu amor. Sistema completamente lento e travado hoje.",['Nubank'],Rio de Janeiro,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [16, 23]}], 'symbols': []}"
14,2021-05-10 15:21:26,Diogo me trouxe na Boticário e comprou um perfumeeee🥰🥰🥰🥰,['Boticário'],Rio de Janeiro,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
15,2021-05-10 15:21:30,"I eu q tava fazendo bico fiz uma compra de 170 conto na shein, e duas semanas depois fui dispensado ? 🤡",['SHEIN'],011 Capital das Nota$,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
16,2021-05-10 15:21:39,"@CEROLZERA eu ia começar a chorar, depois falaria: qual foi boquinha de nike, faz a boa e me contrata pro FX?",['Nike'],"Maranhão, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'CEROLZERA', 'name': 'Cerol', 'id': 1216971385777664005, 'id_str': '1216971385777664005', 'indices': [0, 10]}], 'symbols': []}"
17,2021-05-10 15:21:43,"@CocaCola_Br coca cola Brasil to triste na minha cidade n tem restaurantes participantes

me manda mimos",['Coca cola'],"Três Lagoas, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'CocaCola_Br', 'name': 'Coca-Cola Brasil', 'id': 255537739, 'id_str': '255537739', 'indices': [0, 12]}], 'symbols': []}"
18,2021-05-10 15:21:48,amo a opção guardar dinheiro da nubank porque a existência dele é simplesmente apagada da minha memória,['Nubank'],"Natal, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
19,2021-05-10 15:21:52,8. Qual a marca do seu celular?,[],🐳☀,"{'hashtags': [{'text': 'BTSARMY', 'indices': [19, 27]}, {'text': 'BestFanArmy', 'indices': [44, 56]}, {'text': 'iHeartAwards', 'indices': [60, 73]}], 'urls': [], 'user_mentions': [{'screen_name': 'BTS_twt', 'name': '방탄소년단', 'id': 335141638, 'id_str': '335141638', 'indices': [30, 38]}], 'symbols': []}"
20,2021-05-10 15:22:07,@felipevinha @nubank Minha mãe tbm n ta conseguindo,['Nubank'],"Rio de Janeiro, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'felipevinha', 'name': 'Vinha', 'id': 15201438, 'id_str': '15201438', 'indices': [0, 12]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [13, 20]}], 'symbols': []}"
