,created_at,tweet_content,keyword,user_location,entities
0,2021-05-10 14:35:23,Relacionamento sério com a nike,['Nike'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
1,2021-05-10 14:35:28,Lembro da época que existia camisa da Nike do Bahia e do Coritiba,['Nike'],Gotham,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
2,2021-05-10 14:35:32,@sccpnic Nike é muito bomm,['Nike'],"São Paulo, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'sccpnic', 'name': 'ؘn.', 'id': 1219373400835215361, 'id_str': '1219373400835215361', 'indices': [0, 8]}], 'symbols': []}"
3,2021-05-10 14:35:42,"se espremer o universitário no final do semestre sai um caldo preto que é uma mistura de café, coca cola e ódio",['Coca cola'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'unbsincera', 'name': 'UnB Sincera', 'id': 1265727126550044674, 'id_str': '1265727126550044674', 'indices': [3, 14]}], 'symbols': []}"
4,2021-05-10 14:35:59,"Segundo desafio:
COMENTEM:
COCA COLA X FANTA
PIZZA X HAMBÚRGUER
NOITE X DIA
PRAIA X PISCINA
BISCOITO X BOLACHA
COXINHA X PASTEL
Usem a tag CACTOS UNIDOS PELO RESPEITO
RT para espalhar!",['Coca cola'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'teamepaaau', 'name': 'TEAM É PAAAU 💥', 'id': 1351620075602780160, 'id_str': '1351620075602780160', 'indices': [3, 14]}], 'symbols': []}"
5,2021-05-10 14:36:12,"pedi os treco na shein,agora so esperar 37 anos p chegar meus treco",['SHEIN'],"Cuiabá, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
6,2021-05-10 14:36:18,"@nubank não queria um email de recarga de celular, queria um email dizendo ""você está convidado para testar o Apple Pay com seu roxinho""",['Nubank'],"Mendes, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [0, 7]}], 'symbols': []}"
7,2021-05-10 14:36:25,"O site da Shein eh tão bom de navegar, adoro que ele fica sugerindo peças parecidas com a que vc tá procurando. Passo horas só olhando. Parece que to no shopping 😂",['SHEIN'],"Mato Grosso, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'ricademarre', 'name': 'Gabriela Sales', 'id': 150605888, 'id_str': '150605888', 'indices': [3, 15]}], 'symbols': []}"
8,2021-05-10 14:36:33,minhas roupas da shein estão em POA aaaaaa 💕,['SHEIN'],tranquility base hotel+cassino,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
9,2021-05-10 14:36:51,@RodrigoBuenoTV A Nike me parece n tá querendo se envolver MT em time de futebol só quer os tradicionais dela msm,['Nike'],"Cariacica, ES","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'RodrigoBuenoTV', 'name': 'Rodrigo Bueno', 'id': 45385616, 'id_str': '45385616', 'indices': [0, 15]}], 'symbols': []}"
10,2021-05-10 14:36:53,@futebol_info @AtaqueMarketing Só um da Nike! Surpreendeu.,['Nike'],"Maringá, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'futebol_info', 'name': 'Planeta do Futebol 🌎', 'id': 193500696, 'id_str': '193500696', 'indices': [0, 13]}, {'screen_name': 'AtaqueMarketing', 'name': 'Ataque Marketing Esportivo', 'id': 121522082, 'id_str': '121522082', 'indices': [14, 30]}], 'symbols': []}"
11,2021-05-10 14:37:12,@FlashFlash123 Joga uma calça abóbora e um blusão quadriculado vai ficar da hora junto de um all star da Nike,['Nike'],"Rio de Janeiro, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'FlashFlash123', 'name': 'Miguel💙💙', 'id': 2925083743, 'id_str': '2925083743', 'indices': [0, 14]}], 'symbols': []}"
