created_at,tweet_content,keyword,user_location,entities
2021-04-11 14:58:39,"O Butantan informa que não existe qualquer redução de dosagem nos frascos da vacina contra a Covid-19 produzidos pelo Instituto. Nós iremos reforçar, mais uma vez, a necessidade do manuseio correto por parte dos profissionais de saúde.",[],Brasil,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'butantanoficial', 'name': 'Instituto Butantan', 'id': 868127218362462208, 'id_str': '868127218362462208', 'indices': [3, 19]}], 'symbols': []}"
2021-04-11 14:58:39,"Hey, @selenagomez! #RedeBBB #BBB21
Se tiver precisando de alguém para dançar em sua próxima turnê... Que tal? https://t.co/w6J2DXgDL7",['BBB'],"Brasília, Brazil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
2021-04-11 14:58:40,"Ei @selenagomez, contrata o Gil do vigor se estiver precisando! 

Video: Reprodução / Globoplay / Gshow

 https://t.co/n1942NumAC",[],she/her,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
2021-04-11 14:58:40,gays com Bolsonaro https://t.co/yrHNO0oRIx,['Bolsonaro'],ela || dela ,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1381260408112185346, 'id_str': '1381260408112185346', 'indices': [19, 42], 'media_url': 'http://pbs.twimg.com/media/Eys5Bd_WgAId3qy.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eys5Bd_WgAId3qy.jpg', 'url': 'https://t.co/yrHNO0oRIx', 'display_url': 'pic.twitter.com/yrHNO0oRIx', 'expanded_url': 'https://twitter.com/stkanes/status/1381260416068763648/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 132, 'h': 157, 'resize': 'fit'}, 'thumb': {'w': 132, 'h': 132, 'resize': 'crop'}, 'medium': {'w': 132, 'h': 157, 'resize': 'fit'}, 'large': {'w': 132, 'h': 157, 'resize': 'fit'}}}]}"
2021-04-11 14:58:40,"Praias são liberadas em meio ao elevado número de casos e óbitos por Covid-19....

E São Pedro, do alto de sua magnificência, abriu toda chuva represada pra evitar aglomeração dos negacioniistas. 

https://t.co/PSguzx7W99",[],None,"{'hashtags': [], 'urls': [{'url': 'https://t.co/Id91e3VMox', 'expanded_url': 'https://twitter.com/i/web/status/1381260416265904137', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}"
2021-04-11 14:58:40,"Caralho a Juliette disse o que todos nós queríamos dizer sobre a Thaís no BBB 

 https://t.co/ezJaiNyX2x",['BBB'],"Petrolina, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'LeviKaique', 'name': 'Leví Kaique Ferreira', 'id': 553658110, 'id_str': '553658110', 'indices': [3, 14]}], 'symbols': [], 'media': [{'id': 1380819317420400644, 'id_str': '1380819317420400644', 'indices': [97, 120], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1380819317420400644/pu/img/gPrgAgvDqF24VZky.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1380819317420400644/pu/img/gPrgAgvDqF24VZky.jpg', 'url': 'https://t.co/ezJaiNyX2x', 'display_url': 'pic.twitter.com/ezJaiNyX2x', 'expanded_url': 'https://twitter.com/alexrv33/status/1380819393001762817/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 520, 'h': 340, 'resize': 'fit'}, 'large': {'w': 520, 'h': 340, 'resize': 'fit'}, 'medium': {'w': 520, 'h': 340, 'resize': 'fit'}}, 'source_status_id': 1380819393001762817, 'source_status_id_str': '1380819393001762817', 'source_user_id': 214749358, 'source_user_id_str': '214749358'}]}"
2021-04-11 14:58:40,lembrando disso aqui 🤧 https://t.co/UODb0dJZ7W,[],None,"{'hashtags': [{'text': 'BBB', 'indices': [61, 65]}, {'text': 'bbb21', 'indices': [66, 72]}], 'urls': [], 'user_mentions': [], 'symbols': []}"
2021-04-11 14:58:40,"Viih Tube: ""Sabe o que o Caio me contou? Que eu sou o pódio dele. Eu quase chorei"" 

👉 Veja a conversa da sister com Thaís → https://t.co/owiNXwehbZ • #RedeBBB #BBB21 https://t.co/KIVi8BPXrG",['BBB'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'bbb', 'name': 'Big Brother Brasil', 'id': 179185127, 'id_str': '179185127', 'indices': [3, 7]}], 'symbols': []}"
2021-04-11 14:58:41,"#SemanaRenova

Maduro ataca Bolsonaro:

“É um psicopata, não o interessa as pessoas do #Brasil, só a sua loucura. E veja a situação em que meteu Brasil e a humanidade. Brasil é o epicentro [da pandemia].""

https://t.co/FOtqB08VIt",['Bolsonaro'],None,"{'hashtags': [{'text': 'SemanaRenova', 'indices': [17, 30]}, {'text': 'Brasil', 'indices': [104, 111]}], 'urls': [], 'user_mentions': [{'screen_name': 'RenovaMidia', 'name': 'RENOVA', 'id': 1388402174, 'id_str': '1388402174', 'indices': [3, 15]}], 'symbols': []}"
2021-04-11 14:58:41,"💉🇧🇷 O Governo Federal e o @minsaude concluíram mais uma entrega de vacinas contra a Covid-19 nesse sábado (10), com o apoio do @MInfraestrutura e empresas aéreas parceiras. Mais 4,4 milhões de doses foram distribuídas em 24h para todo o Brasil.

Fonte: Ministério da Saúde https://t.co/P7h67WlZie",[],"São Paulo, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'secomvc', 'name': 'SecomVc', 'id': 1158389772920020993, 'id_str': '1158389772920020993', 'indices': [3, 11]}, {'screen_name': 'minsaude', 'name': 'Ministério da Saúde', 'id': 37717107, 'id_str': '37717107', 'indices': [39, 48]}], 'symbols': []}"
2021-04-11 14:58:41,As reações às injustas agressões depõem a favor do presidente. Pergunta retórica: por que a Folha ñ enumerou os diversos ataques ministros do STF ao Bolsonaro? Desde uma debochada entrega de cópia da Constituição no dia da posse até xingamento de nazista. https://t.co/LQFXSyIh83,['Bolsonaro'],Brazil,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'saritacoelho', 'name': 'Sarita Coelho', 'id': 50456603, 'id_str': '50456603', 'indices': [3, 16]}], 'symbols': []}"
